entity	entity_count	similar_entity	similar_entity_count	dice_score	
Alfred Ellis, 20 Upper Baker Street, London.	4265	Alfred Ellis, 51 Baker Street, London.	398	0.85	
Alfred Ellis, 20 Upper Baker Street, London.	4265	Ellis and Try, 55, Baker Street, London.	1	0.6585365853658537	
Alfred Ellis, 20 Upper Baker Street, London.	4265	Alfred Ellis 20 Upper Baker Street, London.	17	0.9647058823529412	
Alfred Ellis, 20 Upper Baker Street, London.	4265	Alfred ellis, 20 Upper Baker Street, London.	1	0.9534883720930233	
Alfred Ellis, 20 Upper Baker Street, London.	4265	Alfred Ellis, 20 Upper Baker, Street, London.	1	0.9655172413793104	
Alfred Ellis, 20 Upper Baker Street, London.	4265	Alfred Ellis, 51, Baker Street, London, W.	1	0.7857142857142857	
Alfred Ellis, 20 Upper Baker Street, London.	4265	Alfred Ellis, 51 Baker Street, London W.	21	0.8048780487804879	
Alfred Ellis, 20 Upper Baker Street, London.	4265	Alfred Ellis, 51, Baker Street, London.	51	0.8395061728395061	
Alfred Ellis, 20 Upper Baker Street, London.	4265	Alfred Ellis, 51 Baker Street, London, W.	20	0.7951807228915663	
Alfred Ellis, 20 Upper Baker Street, London.	4265	Alfred Ellis. 20 Upper Baker Street, London.	2	0.9534883720930233	
Alfred Ellis, 20 Upper Baker Street, London.	4265	Alfred Ellis, 20, Upper Baker Street, London.	7	0.9655172413793104	
Alfred Ellis, 20 Upper Baker Street, London.	4265	Alred Ellis, 51 Baker Street, London.	4	0.810126582278481	
Alfred Ellis, 20 Upper Baker Street, London.	4265	Alfred Ellis, 51 Baker Street London.	12	0.810126582278481	
Alfred Ellis, 20 Upper Baker Street, London.	4265	Alfred Barnes, 20 Hamsell Street, London EC.	1	0.6744186046511628	
Alfred Ellis, 20 Upper Baker Street, London.	4265	Netterville Briggs, 20 Baker Street, London.	6	0.6511627906976745	
Alfred Ellis, 20 Upper Baker Street, London.	4265	Alfred Ellis, 51 Baker Street, London SW.	3	0.7951807228915663	
